State,City,PD,All People Killed by Police (2013-2015),Black People Killed by Police (2013-2015),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,Two or more races,Hispanic,Population,Violent crime,Murder and nonnegligent manslaughter,Violent Crime Rate,Murder Rate,Total Police Homicide Rate,Total Police Homicide Rate for Black People,Average Yearly Police Homicide Rate for Black People,Average Yearly Police Homicide Rate for Black Men (per 100k),Black-White Dissimilarity (2010)
New Mexico,Albuquerque,Albuquerque Police Department,15,3,545852,14878,229933,20627,13674,418,14092,1224,10043,255055,558874,4934,30,8.8,5.4,27.5,201.6,67.2,13.4,28.48
California,Anaheim,Anaheim Police Department,8,2,336265,8209,92362,743,49210,1437,50647,628,6209,177467,346956,1101,14,3.2,4,23.8,243.6,81.2,16.2,27.78
Alaska,Anchorage,Anchorage Police Department,6,0,291826,15308,182814,22047,23208,5776,28984,562,20050,22061,301306,2605,12,8.6,4,20.6,0,0,0,34.33
Texas,Arlington,Arlington Police Department,5,3,365438,67087,164022,1338,24564,373,24937,597,7188,100269,382976,1854,13,4.8,3.4,13.7,44.7,14.9,3,39.74
Georgia,Atlanta,Atlanta Police Department,7,5,420003,224316,152377,754,13098,115,13213,739,6789,21815,454363,5577,93,12.3,20.5,16.7,22.3,7.4,1.5,74.12
Colorado,Aurora,Aurora Police Department,11,3,325078,49003,153715,1487,15735,919,16654,677,10279,93263,350948,1448,11,4.1,3.1,33.8,61.2,20.4,4.1,28.72
Texas,Austin,Austin Police Department,17,2,790390,60760,385271,1967,49159,401,49560,1448,13677,277707,903924,3581,32,4,3.5,21.5,32.9,11,2.2,54.14
California,Bakersfield,Bakersfield Police Department,16,1,347483,26677,131311,2265,20496,357,20853,681,7491,158205,367406,1678,17,4.6,4.6,46,37.5,12.5,2.5,43.39
Maryland,Baltimore,Baltimore Police Department,26,22,620961,392938,174120,1884,14397,192,14589,942,10528,25960,623513,8346,211,13.4,33.8,41.9,56,18.7,3.7,68.9
Louisiana,Baton Rouge,Baton Rouge Police Department,5,5,229493,124542,86679,397,7469,39,7508,332,2382,7653,229387,2120,53,9.2,23.1,21.8,40.1,13.4,2.7,66.94
Alabama,Birmingham,Birmingham Police Department,5,4,212237,155258,44819,361,2132,48,2180,150,1765,7704,212115,3369,52,15.9,24.5,23.6,25.8,8.6,1.7,62.56
Massachusetts,Boston,Boston Police Department,7,6,617594,138073,290312,1227,54846,182,55028,10078,14959,107917,654413,4749,53,7.3,8.1,11.3,43.5,14.5,2.9,69.17
New York,Buffalo,Buffalo Police Department,0,0,261310,97637,119801,1597,8313,79,8392,445,5919,27519,258419,3174,60,12.3,23.2,0,0,0,0,65.89
Arizona,Chandler,Chandler Police Department,2,0,236123,10580,145724,2715,19119,365,19484,369,5443,51808,252369,466,1,1.8,0.4,8.5,0,0,0,17.24
North Carolina,Charlotte,Charlotte-Mecklenburg Police Department,11,8,731424,252007,329545,2250,36115,436,36551,1960,13423,95688,856916,5054,47,5.9,5.5,15,31.7,10.6,2.1,53.4
Virginia,Chesapeake,Chesapeake Police Department,2,2,222209,65204,134251,720,6289,147,6436,266,5626,9706,232489,991,10,4.3,4.3,9,30.7,10.2,2,41.66
Illinois,Chicago,Chicago Police Department,55,39,2695598,872286,854717,4097,144903,557,145460,4227,35949,778862,2724121,24089,411,8.8,15.1,20.4,44.7,14.9,3,82.48
California,Chula Vista,Chula Vista Police Department,1,0,243916,9972,49641,600,33581,1105,34686,360,6591,142066,259894,612,7,2.4,2.7,4.1,0,0,0,22.05
Ohio,Cincinnati,Cincinnati Polce Department,10,7,296943,132307,142831,549,5434,168,5602,721,6625,8308,297671,2695,60,9.1,20.2,33.7,52.9,17.6,3.5,53.42
Ohio,Cleveland,Cleveland Police Department,6,6,396815,208208,132710,997,7213,70,7283,599,7484,39534,388655,5186,63,13.3,16.2,15.1,28.8,9.6,1.9,69.02
Colorado,Colorado Springs,Colorado Springs Police Department,3,0,416427,24391,294598,2403,12206,1092,13298,768,14103,66866,444949,2039,20,4.6,4.5,7.2,0,0,0,34.71
Ohio,Columbus,Columbus Division of Police,23,19,787033,217694,466615,1643,31734,462,32196,2032,22494,44359,830811,4563,83,5.5,10,29.2,87.3,29.1,5.8,53.8
Texas,Corpus Christi,Corpus Christi Police Department,3,0,305215,11912,101593,792,5398,204,5602,369,2766,182181,319211,2094,27,6.6,8.5,9.8,0,0,0,40.15
Texas,Dallas,Dallas Police Department,28,10,1197816,294159,345205,3167,33609,311,33920,1824,12232,507309,1272396,8457,116,6.6,9.1,23.4,34,11.3,2.3,66.13
Colorado,Denver,Denver Police Department,17,0,600158,58388,313012,3525,19925,495,20420,1208,12640,190965,665353,3983,31,6,4.7,28.3,0,0,0,54.69
Michigan,Detroit,Detroit Police Department,9,2,713777,586573,55604,1927,7436,82,7518,994,12482,48679,684694,13616,298,19.9,43.5,12.6,3.4,1.1,0.2,59.17
North Carolina,Durham,Durham Police Department,5,2,228330,92285,86519,611,11478,129,11607,616,4233,32459,249738,1834,21,7.3,8.4,21.9,21.7,7.2,1.4,47.92
Texas,El Paso,El Paso Police Department,11,2,649121,18155,92426,1633,7092,737,7829,543,4814,523721,680273,2671,21,3.9,3.1,16.9,110.2,36.7,7.3,30.84
Indiana,Fort Wayne,Fort Wayne Police Department,6,4,253691,38514,178436,730,8279,91,8370,542,6899,20200,257172,816,12,3.2,4.7,23.7,103.9,34.6,6.9,54.29
Texas,Fort Worth,Fort Worth Police Department,15,4,741206,136941,309312,2481,27095,615,27710,993,11301,252468,789035,4420,48,5.6,6.1,20.2,29.2,9.7,1.9,54.99
California,Fremont,Fremont Police Department,3,0,214089,6743,56766,458,107679,1064,108743,388,9293,31698,227575,284,1,1.2,0.4,14,0,0,0,22.04
California,Fresno,Fresno Police Department,16,1,494665,37885,148598,3127,60939,663,61602,984,10414,232055,513187,2382,47,4.6,9.2,32.3,26.4,8.8,1.8,42.01
Texas,Garland,Garland Police Department,4,2,226876,32164,83259,789,21162,65,21227,308,3345,85784,236414,644,5,2.7,2.1,17.6,62.2,20.7,4.1,25.05
Arizona,Glendale,Glendale Police Department,5,1,226721,12766,116866,2707,8618,355,8973,329,4579,80501,234006,905,13,3.9,5.6,22.1,78.3,26.1,5.2,39.14
North Carolina,Greensboro,Greensboro Police Department,2,1,269666,108233,122888,1096,10711,128,10839,703,5571,20336,282203,1346,23,4.8,8.2,7.4,9.2,3.1,0.6,56.62
